,id,season,gamesPlayedHome,gamesPlayedAway,totalGamesHome,totalWinsHome,homeGamesHome,homeWinsHome,awayGamesHome,awayWinsHome,percentageTotalWinHome,percentageHomeWinHome,percentageAwayWinHome,totalGamesAway,totalWinsAway,homeGamesAway,homeWinsAway,awayGamesAway,awayWinsAway,percentageTotalWinAway,percentageHomeWinAway,percentageAwayWinAway,lastGame1WinHome,lastGame1AtHomeHome,lastGame2WinHome,lastGame2AtHomeHome,lastGame3WinHome,lastGame3AtHomeHome,lastGame4WinHome,lastGame4AtHomeHome,lastGame5WinHome,lastGame5AtHomeHome,lastGame1WinAway,lastGame1AtHomeAway,lastGame2WinAway,lastGame2AtHomeAway,lastGame3WinAway,lastGame3AtHomeAway,lastGame4WinAway,lastGame4AtHomeAway,lastGame5WinAway,lastGame5AtHomeAway,statsHome.seasonTotalPossessions,statsHome.last5TotalPossessions,statsHome.seasonTotalPoints,statsHome.last5TotalPoints,statsHome.seasonOffensiveRating,statsHome.last5OffensiveRating,statsHome.seasonDefensiveRating,statsHome.last5DefensiveRating,statsAway.seasonTotalPossessions,statsAway.last5TotalPossessions,statsAway.seasonTotalPoints,statsAway.last5TotalPoints,statsAway.seasonOffensiveRating,statsAway.last5OffensiveRating,statsAway.seasonDefensiveRating,statsAway.last5DefensiveRating,homeWin,homeBestOdds,awayBestOdds,forecast,winnings
87,42190,2017,38,39,35,20,19,13,16,7,0.5710000000000001,0.684,0.43799999999999994,39,23,21,14,18,9,0.59,0.667,0.5,False,False,True,True,False,False,False,True,True,False,False,True,True,False,True,False,True,True,False,True,3278.6,480.6,3763,544,114.77,113.19,109.47,108.2,3557.4,470.0,4164,526,117.05,111.91,114.38,112.13,True,1.43,3.22,True,71.5
88,42191,2017,39,37,39,13,19,8,20,5,0.33299999999999996,0.42100000000000004,0.25,36,13,19,9,17,4,0.361,0.474,0.235,False,False,False,False,True,False,True,True,True,True,True,False,True,True,True,True,False,False,True,True,3637.2,483.0,4244,557,116.68,115.32,114.32,111.18,3434.6,457.4,3969,499,115.56,109.09,112.65,106.69,False,1.32,3.86,True,-50
89,42192,2017,40,39,39,12,18,9,21,3,0.308,0.5,0.14300000000000002,40,30,18,14,22,16,0.75,0.778,0.727,False,True,False,True,True,False,True,False,True,False,False,True,False,True,False,False,False,True,True,False,3607.0,474.4,4165,532,115.47,112.14,112.53,109.82,3703.4,467.4,4336,508,117.08,108.69,117.62,115.32,False,3.8,1.32,False,66.0
90,42193,2017,39,40,38,11,13,4,25,7,0.289,0.308,0.28,38,13,19,7,19,6,0.342,0.368,0.316,False,True,False,False,True,True,True,False,True,True,False,True,False,True,True,True,True,False,True,True,3546.0,464.8,4096,525,115.51,112.95,111.31,111.45,3549.6,492.8,4075,571,114.8,115.87,114.94,106.94,True,1.64,2.5,True,82.0
91,42194,2017,41,39,42,13,19,7,23,6,0.31,0.368,0.261,37,21,16,9,21,12,0.568,0.562,0.5710000000000001,True,False,False,False,False,True,True,False,True,True,False,False,True,False,False,True,True,True,False,False,3821.2,448.0,4478,528,117.19,117.86,113.66,113.17,3633.4,495.6,4118,551,113.34,111.18,113.75,111.18,False,2.66,1.56,False,78.0
92,42195,2017,40,39,37,19,15,10,22,9,0.514,0.667,0.409,36,20,19,12,17,8,0.556,0.632,0.47100000000000003,False,True,True,False,True,False,True,False,True,True,True,False,False,True,False,False,True,False,True,False,3363.4,461.4,3726,512,110.78,110.97,109.2,104.9,3337.8,462.2,3873,548,116.03,118.56,113.73,116.83,True,1.74,2.41,True,87.0
93,42196,2017,39,38,39,22,18,12,21,10,0.564,0.667,0.47600000000000003,36,24,19,15,17,9,0.667,0.789,0.529,True,True,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True,3556.6,451.8,3979,493,111.88,109.12,109.35,97.83,3393.0,460.8,3973,524,117.09,113.72,112.14,112.85,False,1.87,2.13,False,106.5
94,42197,2017,39,37,38,21,21,15,17,6,0.5529999999999999,0.7140000000000001,0.353,37,20,19,13,18,7,0.541,0.684,0.389,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,3520.4,469.4,4180,566,118.74,120.58,113.79,115.68,3357.0,470.0,3803,523,113.29,111.28,110.9,109.15,True,1.53,2.88,True,76.5
95,42200,2017,37,38,38,26,20,13,18,13,0.684,0.65,0.722,37,14,19,11,18,3,0.37799999999999995,0.579,0.16699999999999998,True,True,False,False,False,True,False,True,True,True,True,False,False,False,True,True,True,False,False,True,3604.2,447.6,4176,524,115.86,117.07,115.59,116.62,3307.2,452.8,3838,499,116.05,110.2,112.12,107.77,False,1.44,3.12,True,-50
96,42201,2017,40,39,39,19,23,14,16,5,0.48700000000000004,0.609,0.312,39,10,19,3,20,7,0.256,0.158,0.35,True,True,False,False,True,False,True,True,False,True,True,True,True,True,False,False,False,False,True,True,3576.8,463.0,4127,533,115.38,115.12,111.92,108.42,3534.0,457.6,4045,520,114.46,113.64,114.97,111.01,True,1.26,4.38,True,63.0
97,42202,2017,40,42,38,22,18,16,20,6,0.579,0.889,0.3,41,11,20,6,21,5,0.268,0.3,0.23800000000000002,True,True,False,False,False,True,True,False,False,False,True,True,True,True,False,False,True,True,False,False,3483.4,474.4,4275,559,122.72,117.83,116.24,119.31,3735.4,469.4,4331,516,115.94,109.93,113.05,108.65,True,1.11,10.0,True,55.50000000000001
98,42204,2017,40,41,39,22,22,16,17,6,0.564,0.727,0.353,38,27,21,15,17,12,0.711,0.7140000000000001,0.706,True,True,False,False,True,True,False,False,True,False,False,True,False,True,True,False,False,False,False,True,3607.4,465.0,4275,551,118.51,118.49,113.66,116.99,3619.8,464.6,4289,512,118.49,110.2,116.88,125.05,False,4.25,1.29,False,64.5
99,42205,2017,40,41,38,19,18,11,20,8,0.5,0.611,0.4,42,13,21,10,21,3,0.31,0.47600000000000003,0.14300000000000002,False,True,False,True,False,False,True,False,True,False,False,False,True,True,True,True,False,False,True,True,3564.0,475.0,4197,559,117.76,117.68,117.48,121.26,3906.4,477.4,4476,524,114.58,109.76,112.23,109.76,False,1.12,9.5,True,-50
100,42206,2017,38,38,39,26,21,13,18,13,0.667,0.619,0.722,39,20,20,13,19,7,0.513,0.65,0.368,False,True,True,True,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,False,3690.6,444.6,4280,526,115.97,118.31,115.94,123.93,3534.4,461.4,3988,486,112.83,105.33,110.71,106.42,False,1.5,2.86,True,-50
101,42207,2017,39,38,39,27,20,16,19,11,0.6920000000000001,0.8,0.579,34,22,16,11,18,11,0.647,0.688,0.611,True,False,False,False,True,False,True,False,False,False,False,True,True,True,False,True,True,False,True,False,3659.8,460.8,4301,524,117.52,113.72,113.18,112.85,3176.4,477.2,3741,538,117.77,112.74,115.57,115.88,False,1.49,2.89,True,-50
102,42208,2017,40,41,40,13,20,8,20,5,0.325,0.4,0.25,40,26,22,13,18,13,0.65,0.591,0.722,False,True,False,False,False,False,True,False,True,True,False,True,True,False,True,False,True,False,False,True,3730.2,477.0,4327,515,116.0,107.97,114.28,109.22,3645.0,449.4,4066,512,111.55,113.93,110.4,105.25,False,2.46,1.64,False,82.0
103,42209,2017,41,41,38,20,16,11,22,9,0.526,0.688,0.409,40,13,20,7,20,6,0.325,0.35,0.3,True,True,False,True,True,False,True,False,True,False,True,True,False,False,False,True,False,True,True,True,3460.8,464.6,3834,519,110.78,111.71,109.05,105.04,3746.6,496.2,4310,579,115.04,116.69,115.12,117.69,True,1.18,6.25,True,59.0
104,42210,2017,40,40,37,27,16,12,21,15,0.73,0.75,0.7140000000000001,40,21,20,12,20,9,0.525,0.6,0.45,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,3423.0,462.8,3983,491,116.36,106.09,117.35,117.98,3655.6,468.6,4081,500,111.64,106.7,109.28,101.15,True,1.42,3.31,True,71.0
